x,y,w_right,w_left
7.6400,4.9600,0.8309,0.8309
7.6300,4.9600,0.8313,0.8313
7.6200,4.9600,0.8319,0.8319
7.6100,4.9600,0.8326,0.8326
7.6000,4.9500,0.8235,0.8235
7.5900,4.9500,0.8244,0.8244
7.5800,4.9500,0.8254,0.8254
7.5700,4.9500,0.8266,0.8266
7.5600,4.9500,0.8278,0.8278
7.5500,4.9500,0.8291,0.8291
7.5400,4.9400,0.8207,0.8207
7.5300,4.9400,0.8223,0.8223
7.5200,4.9400,0.8240,0.8240
7.5100,4.9400,0.8257,0.8257
7.5000,4.9400,0.8276,0.8276
7.4900,4.9400,0.8296,0.8296
7.4800,4.9300,0.8220,0.8220
7.4700,4.9300,0.8242,0.8242
7.4600,4.9300,0.8265,0.8265
7.4500,4.9300,0.8289,0.8289
7.4400,4.9300,0.8315,0.8315
7.4300,4.9200,0.8244,0.8244
7.4200,4.9200,0.8272,0.8272
7.4100,4.9200,0.8296,0.8296
7.4000,4.9200,0.8317,0.8317
7.3900,4.9200,0.8338,0.8338
7.3800,4.9100,0.8257,0.8257
7.3700,4.9100,0.8276,0.8276
7.3600,4.9100,0.8296,0.8296
7.3500,4.9100,0.8300,0.8300
7.3400,4.9100,0.8300,0.8300
7.3300,4.9100,0.8300,0.8300
7.3200,4.9000,0.8200,0.8200
7.3100,4.9000,0.8200,0.8200
7.3000,4.9000,0.8200,0.8200
7.2900,4.9000,0.8200,0.8200
7.2800,4.9000,0.8200,0.8200
7.2700,4.9000,0.8200,0.8200
7.2600,4.9000,0.8200,0.8200
7.2500,4.8900,0.8100,0.8100
7.2400,4.8900,0.8100,0.8100
7.2300,4.8900,0.8100,0.8100
7.2200,4.8900,0.8100,0.8100
7.2100,4.8900,0.8101,0.8101
7.2000,4.8900,0.8102,0.8102
7.1900,4.8900,0.8105,0.8105
7.1800,4.8900,0.8109,0.8109
7.1700,4.8800,0.8014,0.8014
7.1600,4.8800,0.8020,0.8020
7.1500,4.8800,0.8027,0.8027
7.1400,4.8800,0.8035,0.8035
7.1300,4.8800,0.8045,0.8045
7.1200,4.8700,0.7956,0.7956
