# x_m,y_m,w_tr_right_m,w_tr_left_m
-12.9300,3.2100,0.9623,0.9623
-12.9300,3.2000,0.9585,0.9585
-12.9400,3.1900,0.9640,0.9640
-12.9400,3.1800,0.9604,0.9604
-12.9400,3.1700,0.9569,0.9569
-12.9400,3.1600,0.9534,0.9534
-12.9500,3.1500,0.9595,0.9595
-12.9500,3.1400,0.9562,0.9562
-12.9500,3.1300,0.9530,0.9530
-12.9600,3.1200,0.9595,0.9595
-12.9600,3.1100,0.9565,0.9565
-12.9600,3.1000,0.9536,0.9536
-12.9600,3.0900,0.9508,0.9508
-12.9700,3.0800,0.9577,0.9577
-12.9700,3.0700,0.9551,0.9551
-12.9700,3.0600,0.9526,0.9526
-12.9700,3.0500,0.9502,0.9502
-12.9800,3.0400,0.9576,0.9576
-12.9800,3.0300,0.9554,0.9554
-12.9800,3.0200,0.9532,0.9532
-12.9800,3.0100,0.9512,0.9512
-12.9900,3.0000,0.9591,0.9591
-12.9900,2.9900,0.9572,0.9572
-12.9900,2.9800,0.9555,0.9555
-12.9900,2.9700,0.9538,0.9538
-13.0000,2.9600,0.9621,0.9621
-13.0000,2.9500,0.9607,0.9607
-13.0000,2.9400,0.9593,0.9593
-13.0000,2.9300,0.9580,0.9580
-13.0100,2.9200,0.9668,0.9668
-13.0100,2.9100,0.9657,0.9657
-13.0100,2.9000,0.9647,0.9647
-13.0100,2.8900,0.9638,0.9638
-13.0100,2.8800,0.9630,0.9630
-13.0200,2.8700,0.9723,0.9723
-13.0200,2.8600,0.9717,0.9717
-13.0200,2.8500,0.9712,0.9712
-13.0200,2.8400,0.9707,0.9707
-13.0200,2.8300,0.9704,0.9704
-13.0300,2.8200,0.9802,0.9802
-13.0300,2.8100,0.9800,0.9800
-13.0300,2.8000,0.9791,0.9791
-13.0300,2.7900,0.9779,0.9779
-13.0300,2.7800,0.9767,0.9767
-13.0300,2.7700,0.9756,0.9756
-13.0400,2.7600,0.9846,0.9846
-13.0400,2.7500,0.9837,0.9837
-13.0400,2.7400,0.9830,0.9830
-13.0400,2.7300,0.9823,0.9823
-13.0400,2.7200,0.9817,0.9817
-13.0400,2.7100,0.9812,0.9812
-13.0400,2.7000,0.9807,0.9807
-13.0500,2.6900,0.9904,0.9904
-13.0500,2.6800,0.9902,0.9902
-13.0500,2.6700,0.9900,0.9900
-13.0500,2.6600,0.9900,0.9900
-13.0500,2.6500,0.9900,0.9900
-13.0500,2.6400,0.9900,0.9900
-13.0500,2.6300,0.9900,0.9900
-13.0500,2.6200,0.9900,0.9900
-13.0600,2.6100,1.0000,1.0000
-13.0600,2.6000,1.0000,1.0000
-13.0600,2.5900,1.0000,1.0000
-13.0600,2.5800,1.0000,1.0000
-13.0600,2.5700,1.0000,1.0000
-13.0600,2.5600,1.0000,1.0000
-13.0600,2.5500,1.0000,1.0000
-13.0500,2.5400,0.9900,0.9900
-13.0500,2.5300,0.9900,0.9900
-13.0500,2.5200,0.9900,0.9900
-13.0500,2.5100,0.9900,0.9900
-13.0500,2.5000,0.9900,0.9900
-13.0500,2.4900,0.9900,0.9900
-13.0400,2.4800,0.9800,0.9800
-13.0400,2.4700,0.9800,0.9800
-13.0400,2.4600,0.9800,0.9800
-13.0400,2.4500,0.9800,0.9800
-13.0400,2.4400,0.9800,0.9800
-13.0300,2.4300,0.9700,0.9700
-13.0300,2.4200,0.9700,0.9700
-13.0300,2.4100,0.9700,0.9700
-13.0300,2.4000,0.9700,0.9700
-13.0300,2.3900,0.9700,0.9700
-13.0200,2.3800,0.9600,0.9600
-13.0200,2.3700,0.9600,0.9600
-13.0200,2.3600,0.9600,0.9600
-13.0200,2.3500,0.9600,0.9600
-13.0200,2.3400,0.9600,0.9600
-13.0200,2.3300,0.9600,0.9600
-13.0100,2.3200,0.9502,0.9502
-13.0100,2.3100,0.9504,0.9504
-13.0100,2.3000,0.9508,0.9508
-13.0100,2.2900,0.9512,0.9512
-13.0100,2.2800,0.9517,0.9517
-13.0000,2.2700,0.9424,0.9424
-13.0000,2.2600,0.9431,0.9431
-13.0000,2.2500,0.9439,0.9439
-13.0000,2.2400,0.9448,0.9448
-13.0000,2.2300,0.9458,0.9458
-12.9900,2.2200,0.9370,0.9370
-12.9900,2.2100,0.9382,0.9382
-12.9900,2.2000,0.9395,0.9395
-12.9900,2.1900,0.9409,0.9409
-12.9900,2.1800,0.9424,0.9424
-12.9800,2.1700,0.9341,0.9341
-12.9800,2.1600,0.9358,0.9358
-12.9800,2.1500,0.9375,0.9375
-12.9800,2.1400,0.9394,0.9394
-12.9800,2.1300,0.9414,0.9414
-12.9700,2.1200,0.9337,0.9337
-12.9700,2.1100,0.9359,0.9359
-12.9700,2.1000,0.9381,0.9381
-12.9700,2.0900,0.9405,0.9405
-12.9700,2.0800,0.9429,0.9429
-12.9700,2.0700,0.9455,0.9455
-12.9600,2.0600,0.9385,0.9385
-12.9600,2.0500,0.9412,0.9412
-12.9600,2.0400,0.9440,0.9440
-12.9600,2.0300,0.9458,0.9458
-12.9600,2.0200,0.9469,0.9469
-12.9500,2.0100,0.9382,0.9382
-12.9500,2.0000,0.9395,0.9395
-12.9500,1.9900,0.9409,0.9409
-12.9500,1.9800,0.9424,0.9424
-12.9500,1.9700,0.9439,0.9439
-12.9400,1.9600,0.9358,0.9358
-12.9400,1.9500,0.9375,0.9375
-12.9400,1.9400,0.9394,0.9394
-12.9400,1.9300,0.9414,0.9414
-12.9400,1.9200,0.9435,0.9435
-12.9300,1.9100,0.9359,0.9359
-12.9300,1.9000,0.9381,0.9381
-12.9300,1.8900,0.9405,0.9405
-12.9300,1.8800,0.9429,0.9429
-12.9300,1.8700,0.9455,0.9455
-12.9200,1.8600,0.9385,0.9385
-12.9200,1.8500,0.9412,0.9412
-12.9200,1.8400,0.9440,0.9440
-12.9200,1.8300,0.9469,0.9469
-12.9100,1.8200,0.9404,0.9404
-12.9100,1.8100,0.9436,0.9436
-12.9100,1.8000,0.9468,0.9468
-12.9100,1.7900,0.9500,0.9500
-12.9100,1.7800,0.9534,0.9534
-12.9000,1.7700,0.9475,0.9475
-12.9000,1.7600,0.9511,0.9511
-12.9000,1.7500,0.9548,0.9548
-12.9000,1.7400,0.9576,0.9576
-12.9000,1.7300,0.9599,0.9599
-12.8900,1.7200,0.9526,0.9526
-12.8900,1.7100,0.9551,0.9551
-12.8900,1.7000,0.9577,0.9577
-12.8900,1.6900,0.9604,0.9604
-12.8900,1.6800,0.9632,0.9632
-12.8800,1.6700,0.9565,0.9565
-12.8800,1.6600,0.9595,0.9595
-12.8800,1.6500,0.9625,0.9625
-12.8800,1.6400,0.9657,0.9657
-12.8800,1.6300,0.9689,0.9689
-12.8700,1.6200,0.9628,0.9628
-12.8700,1.6100,0.9663,0.9663
-12.8700,1.6000,0.9698,0.9698
-12.8700,1.5900,0.9734,0.9734
-12.8600,1.5800,0.9678,0.9678
-12.8600,1.5700,0.9715,0.9715
-12.8500,1.5600,0.9662,0.9662
-12.8500,1.5500,0.9700,0.9700
-12.8500,1.5400,0.9728,0.9728
-12.8500,1.5300,0.9756,0.9756
-12.8500,1.5200,0.9786,0.9786
-12.8400,1.5100,0.9721,0.9721
-12.8400,1.5000,0.9752,0.9752
-12.8300,1.4900,0.9689,0.9689
-12.8300,1.4800,0.9722,0.9722
-12.8300,1.4700,0.9756,0.9756
